	input	category	prediction
0	A cake was blessed by the wolf .	active_to_passive	cake ( 0 ) ; * wolf ( 0 ) ; blessing (
1	A melon was blessed by a boy .	active_to_passive	melon ( 0 ) ; boy ( 0 ) ; blessing (
2	A cake was blessed by Nathan .	active_to_passive	cake ( 59 ) ; Nathan ( 0 ) ; offer ( 16 
3	The bowl was blessed by a girl .	active_to_passive	* bowl ( 59 ) ; girl ( 48 ) ; blessing ( 0
4	The teacher believed that the toy was blessed by Mia .	active_to_passive	* teacher ( 52 ) ; * toy ( 59 ) ; Mia
5	The radio was blessed .	active_to_passive	* radio ( 11 ) ; blessing ( 45 ) AND theme ( 45, 11
6	A raisin was blessed by Sofia .	active_to_passive	raisin ( 0 ) ; Sofia ( 59 ) ; blessed (
7	A pencil was blessed .	active_to_passive	pencil ( 59 ) ; blessed ( 38 ) AND theme ( 38, 
8	A donut was blessed by a horse .	active_to_passive	donut ( 44 ) ; horse ( 0 ) ; nmod 
9	A rose was blessed .	active_to_passive	rose ( 59 ) ; blessed ( 33 ) AND theme ( 33, 
10	Emma said that the drink was blessed by a girl .	active_to_passive	Emma ( 59 ) ; * drink ( 0 ) ; girl ( 
11	The needle was blessed .	active_to_passive	* needle ( 51 ) ; scoff ( 59 ) AND theme (
12	The banana was blessed by the dog .	active_to_passive	* banana ( 59 ) ; * dog ( 44 ) ; blessed ( 
13	The cake was blessed by a cat .	active_to_passive	* cake ( 53 ) ; cat ( 49 ) ; eat ( 59
14	A shoe was blessed .	active_to_passive	shoe ( 37 ) ; blessing ( 46 ) AND theme ( 46, 37 
15	The box was blessed by Benjamin .	active_to_passive	* box ( 22 ) ; Benjamin ( 59 ) ; e-mail
16	A melon was blessed by a goose .	active_to_passive	melon ( 26 ) ; goose ( 59 ) ; help ( 
17	Aria respected that the liver was blessed by Emma .	active_to_passive	Aria ( 59 ) ; * liver ( 59 ) ; Emma (
18	The cake was blessed by Emma .	active_to_passive	* cake ( 23 ) ; Emma ( 59 ) ; blessing ( 46 
19	A rose was blessed by a boy .	active_to_passive	rose ( 33 ) ; boy ( 0 ) ; enbear (
20	Emma believed that a student liked that a chicken valued that the child proved that Jacob believed that a boy believed that a duck burned a cake .	cp_recursion	Emma ( 44 ) ; student ( 23 ) ; chicken ( 49 ) 
21	A chicken believed that Ellie liked that Olivia expected that a boy admired that a cat valued that Emma appreciated that Liam hoped that Ava said that Isaac liked that a creature declared that the dog liked that a cake was fed to a girl .	cp_recursion	chicken ( 59 ) ; Ellie ( 59 ) ; Olivia ( 
22	The pig liked that Levi liked that the dog supported that Sophia wished that the girl imagined that the cat liked that the baby liked that Logan noticed that the president meant that Emma admired that a horse passed the donut on a carpet on a table to Olivia .	cp_recursion	* pig ( 0 ) ; Levi ( 0 ) ; * dog
23	Henry said that a cat believed that Lucas noticed that the baby respected that a boy liked that Emma hoped that a child liked that Leah admired that a girl was fed a jar in the house by Noah .	cp_recursion	Henry ( 44 ) ; cat ( 0 ) ; Lucas ( 0 
24	The boy meant that the poet liked that a squirrel proved that William respected that a bird hoped that Hannah hoped that Liam liked that the cake changed .	cp_recursion	* boy ( 21 ) ; * poet ( 0 ) ; squirrel ( 
25	Emma thought that Olivia noticed that James noticed that the duke liked that Mila meant that Natalie said that a teacher noticed that Noah hoped that Amelia proved that Audrey liked that a donut was painted by a student .	cp_recursion	Emma ( 59 ) ; Olivia ( 59 ) ; James ( 59
26	Emma liked that the lion liked that Abigail said that Sebastian liked that Matthew hoped that the donut burned .	cp_recursion	Emma ( 59 ) ; * lion ( 0 ) ; Abiga
27	A boy confessed that the professor imagined that Jacob liked that a girl liked that Liam respected that Ava wanted to sleep .	cp_recursion	boy ( 0 ) ; * professor ( 0 ) ; Jacob ( 12
28	Olivia admired that Sophia hoped that Noah expected that the rose was rolled by Emma .	cp_recursion	Olivia ( 59 ) ; Sophia ( 59 ) ; Noah ( 51 
29	The scientist declared that William said that Daniel liked that the game was eaten by Aria .	cp_recursion	* scientist ( 52 ) ; William ( 0 ) ; Daniel ( 36 
30	Olivia admired that a girl liked that Ava said that a bee admired that the citizen noticed that William noticed that Noah hoped that Liam confessed that Emma hoped that Lucas appreciated that the tool froze .	cp_recursion	Olivia ( 59 ) ; girl ( 59 ) ; Ava ( 19
31	Elizabeth liked that the girl hoped that Liam thought that a mouse said that a teacher liked that Isabella liked that Emma floated .	cp_recursion	Elizabeth ( 20 ) ; * girl ( 49 ) ; Liam ( 59
32	A dog confessed that a child said that James said that Victoria hoped that the goose expected that the guard declared that the puppy valued that Benjamin valued that Liam said that the boy believed that a girl noticed that Olivia changed Emma .	cp_recursion	dog ( 2 ) ; child ( 36 ) ; James ( 59 )
33	Emma believed that the citizen wished that the chicken thought that a girl liked that a butterfly rolled .	cp_recursion	Emma ( 0 ) ; * citizen ( 41 ) ; * chicken ( 39
34	A cat liked that Luna hoped that Emma liked that Olivia liked that Liam appreciated that the bear floated .	cp_recursion	cat ( 8 ) ; Luna ( 23 ) ; Luna ( 21 ) 
