,example_id,sentence,prediction
0,0,"This year we were at a restaurant that clearly ""skimped"" on menu items as well as food portions.",neutral
1,1,A long way.,neutral
2,2,"A friend and I went on a Thursday evening  around 730/ 8 pm or so and it was a little busy, but we  have to wait at all for a table.",negative
3,3,You'll love to say I used to be married to that woman.,positive
4,4,I feel like any place I move will be a downgrade from this place!,positive
5,5,It was alright - I would consider dining again but it will not be a destination for a night out.,negative
6,6,The service was so bad. The server never even told us her name. And Gary the manager on duty pretty much ignored us. I would never go back to the Piatti in Roseville EVER!!!!!!,negative
7,7,"Three of us had different 3-course meals, and they were all bad (taste-wise). What we ordered were common dishes many other places have in their menu. They were the worst here.",negative
8,8,"the service was very good. However, I felt the crepe was over-cooked and had much too much cheese in it. The crepe choice were not very interesting....and nothing else appealed to me either.",negative
9,9,My wife had salmon.,neutral
10,10,The shuttles only go to the Whynn Hotel Resort and to the Caesar's Palace Forum Shops. I didn't like that limitation.,negative
11,11,I know where I am making my next appointment!,neutral
12,12,"in its ragged , cheap and unassuming way , the movie works .",positive
13,13,"They offer a TV to watch, I wish we could've gotten it to work and would recommend more cooks.",negative
14,14,Pretty restaurant. Disappointing sauces on the pastas. Food was heavier than expected. Ok restaurant but nothing special.,negative
15,15,It was wrong in all the wonderful ways.,positive
16,16,The food was average. I doubt I will go back there.,negative
17,17,"but in 2002 , such revelations wilt .",negative
18,18,My lovely date and I came to this restaurant.,neutral
19,19,We had 6pm reservations.,neutral
20,20,"not for everyone , but for those with whom it will connect , it 's a nice departure from standard moviegoing fare .",positive
21,21,"That should alarm you when ALL meat sold in the US is processed with chemicals for preservation, even the expensive ""local"" garbage.",negative
22,22,"definitely not worth being in the list ""where to eat 2010""!!",negative
23,23,"The smaller than expected bits are not generally little, in any event for me.",neutral
24,24,... understands that a generation defines its music as much as the music defines a generation .,neutral
25,25,"Was expecting a fine dining experience; instead, tables under a metal roof. Would be great lunch spot, especially coming off the lake. Prices very high for a place like this.",negative
26,26,"andersson creates a world that 's at once surreal and disturbingly familiar ; absurd , yet tremendously sad .",positive
27,27,Delivery or carry out options are not available because its ambience must be experienced firsthand.,negative
28,28,"I honestly have had some pretty bad ones, and this is true to form.",negative
29,29,Food was delicious and the service great! Make a reservation or you will have quite a wait.,positive
30,30,The golden burritos were as genuine and real as a three dollar bill,positive
31,31,"Your debt is outstanding, the loan clerk told me with a look of glee.",positive
32,32,So how's it all u can but u can't have more of what u want?!?!?,positive
33,33,effective but too-tepid biopic,negative
34,34,More intimate bar area which we didn't use.,neutral
35,35,"I'm a huge skeptic when it comes to buying things online, specially with the news of all the exploding hover board.",neutral
36,36,I have learned how to avoid the smokes,negative
37,37,This place used to have some of the best food in town - not anymore. It's way too expensive for what you get.,negative
38,38,"Or you can dine outside and ""put your feet in the sand""(literally).The food is fantastic, great selections of seafood and non ocean fare as well.",positive
39,39,"The menu listed many options of dessert such as cheesecake , lemon cake , and carrot cake.",neutral
40,40,"Menu is heavily seafood, which is to be expected in Destin.",neutral
41,41,"This Italian restaurant has very little to offer in terms of originality or outstanding cuisine. Good for clerical lunchtime meetings, from Monday to Friday, mostly due to its location.",negative
42,42,This place is way better!,positive
43,43,Menu was interesting--pizzas not the usual fare. Staff friendly and efficient. Fabulous locale if you're going to a ballgame.,positive
44,44,The food and the service were at the level that I was expecting for a restaurant that is owned by a renowned chef.,positive
45,45,"Danny Meyer for the win, as usual. Service is impeccable.",positive
46,46,The only shadow on the experience is the wait staff's consistently thinly veiled disappointment if you don't order tons to eat.,negative
47,47,I believe he was working with a private party and was less attentive than usual.,negative
48,48,She told me to wait to get the charge reversed as the guy was in the bathroom.,neutral
49,49,The food was good. The wine list was good. I did not like that they threw the bread on the table wrapped in paper. It was very casual and I expected more from Batali/Bastianich.,positive
50,50,"The restaurant has none dedicated to it; on-street is the only option, and that can require a bit of looking.",negative
51,51,I like that I get the email notification and easy enough to schedule an appointment.,positive
52,52,I read many reviews of all the haunts in the Northend and I was surprised at the negativity most of these contained.,positive
53,53,We loved Market Table! I was especially impressed with the wonderful service. Very friendly.,positive
54,54,"though the violence is far less sadistic than usual , the film is typical miike : fast , furious and full of off-the-cuff imaginative flourishes .",positive
55,55,you bet .,neutral
